DataPoint,Market Value,Enterprise Value,Cash_ST_Investments,Total_Debt,Percent_Insider_Ownership,Percent_Institution_Ownership,Total_Cap,Rebased_Debt,Days_to_Default
AAL,12563.5031,41394.8,3984,33444,1.4251,74.32,46007.5031,72.69249089,0
DAL,37821.52209,52048.3,3094,17255,0.3523,74.7478,55076.52209,31.32913871,0
LUV,28408.38488,28384.1,4072,3996,0.4228,76.2529,32404.38488,12.33166442,0
JBLU,5404.351486,6793.04,1328,3152,0.6643,95.7011,8556.351486,36.83813136,0
SAVE,2759.138895,4915.79,1084.278,3557.981,0.7437,101.4457,6317.119895,56.32283476,0
HA,1364.679695,1930.24,618.655,1362.154,2.5142,94.6397,2726.833695,49.95368814,0
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
